Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue,Run_Time_Minutes,Poster_URL
https://www.imdb.com/title/tt15009428/,Argylle,Action,2/2/24,5.6,90K,$200.0M,96200000,139,https://image.tmdb.org/t/p/w500/siduVKgOnABO4WH4lOwPQwaGwJp.jpg
https://www.imdb.com/title/tt22173666/,Azrael,Action,9/27/24,5.4,9.3K,$12.0M,666600,86,https://image.tmdb.org/t/p/w500/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
https://www.imdb.com/title/tt9466114/,The Idea of You,Comedy,5/2/24,6.3,70K,0,36200,115,https://image.tmdb.org/t/p/w500/Y5P4Q3q8nrruZ9aD3wXeJS2Plg.jpg
https://www.imdb.com/title/tt9214772/,Monkey Man,Action,4/5/24,6.8,88K,$10.0M,35300000,121,https://image.tmdb.org/t/p/w500/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg
https://www.imdb.com/title/tt11687002/,The Outrun,Drama,10/4/24,6.9,12K,0,5200000,118,https://image.tmdb.org/t/p/w500/zfRR2CkbvYrLuOPQFm8vBaENyMy.jpg
https://www.imdb.com/title/tt21235248/,Ghostbusters: Frozen Empire,Adventure,3/22/24,6.1,91K,$100.0M,202000000,115,https://image.tmdb.org/t/p/w500/e1J2oNzSBdou01sUvriVuoYp0pJ.jpg
https://www.imdb.com/title/tt19864802/,Land of Bad,Action,2/16/24,6.6,49K,$16.5M,7000000,113,https://image.tmdb.org/t/p/w500/h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg
https://www.imdb.com/title/tt33428606/,Solo Leveling: ReAwakening,Animation,12/6/24,8.6,4.2K,0,6300000,121,https://image.tmdb.org/t/p/w500/dblIFen0bNZAq8icJXHwrjfymDW.jpg
https://www.imdb.com/title/tt8310486/,Miller's Girl,Comedy,1/26/24,5.2,22K,$4.0M,1700000,93,https://image.tmdb.org/t/p/w500/ieU0zUj7WhE0GrgpgofRH0sNjbI.jpg
https://www.imdb.com/title/tt27218960/,Y2K,Comedy,12/6/24,4.9,9.1K,0,4400000,91,https://image.tmdb.org/t/p/w500/qndubIQalyxBJI5EBNZKGXEX74q.jpg
