Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes
https://www.imdb.com/title/tt10171472/,Goodrich,Comedy,10/17/24,6.3,4.4K,0,$2.0M,110
https://www.imdb.com/title/tt20316748/,Twilight of the Warriors: Walled In,Action,5/1/24,7,8.1K,$39.0M,$17.1M,126
https://www.imdb.com/title/tt15009428/,Argylle,Action,2/2/24,5.6,90K,$200.0M,$96.2M,139
https://www.imdb.com/title/tt22173666/,Azrael,Action,9/27/24,5.4,9.3K,$12.0M,$666.6K,86
https://www.imdb.com/title/tt9466114/,The Idea of You,Comedy,5/2/24,6.3,70K,0,$36.2K,115
https://www.imdb.com/title/tt9214772/,Monkey Man,Action,4/5/24,6.8,88K,$10.0M,$35.3M,121
https://www.imdb.com/title/tt11687002/,The Outrun,Drama,10/4/24,6.9,12K,0,$5.2M,118
https://www.imdb.com/title/tt21235248/,Ghostbusters: Frozen Empire,Adventure,3/22/24,6.1,91K,$100.0M,$202.0M,115
https://www.imdb.com/title/tt19864802/,Land of Bad,Action,2/16/24,6.6,49K,$16.5M,$7.0M,113
https://www.imdb.com/title/tt33428606/,Solo Leveling: ReAwakening,Animation,12/6/24,8.6,4.2K,0,$6.3M,121
https://www.imdb.com/title/tt8310486/,Miller's Girl,Comedy,1/26/24,5.2,22K,$4.0M,$1.7M,93
https://www.imdb.com/title/tt27218960/,Y2K,Comedy,12/6/24,4.9,9.1K,0,$4.4M,91
https://www.imdb.com/title/tt8337290/,Absolution,Action,11/1/24,5.2,6.6K,$30.0M,$3.9M,112
https://www.imdb.com/title/tt16280912/,Humane,Horror,7/26/24,5.5,6.7K,0,$44.5K,93
https://www.imdb.com/title/tt27118357/,Amaran,Action,10/31/24,8.2,17K,0,$1.7M,167
https://www.imdb.com/title/tt19356262/,Drive-Away Dolls,Action,2/23/24,5.4,22K,0,$7.9M,84
https://www.imdb.com/title/tt23137390/,Immaculate,Horror,3/22/24,5.8,51K,$9.0M,$35.3M,89
https://www.imdb.com/title/tt21692408/,Kung Fu Panda 4,Animation,3/8/24,6.3,65K,$85.0M,$547.7M,94
https://www.imdb.com/title/tt13397574/,Mothers' Instinct,Drama,8/13/24,6.3,19K,0,$3.4M,94
https://www.imdb.com/title/tt26731216/,The Forge,Drama,8/23/24,6.7,4.3K,0,$40.4M,124
https://www.imdb.com/title/tt31392609/,How to Make Millions Before Grandma Dies,Comedy,9/13/24,8,12K,0,$5.2M,125
https://www.imdb.com/title/tt26548265/,Maharaja,Action,6/13/24,8.4,64K,$2.4M,$975.5K,141
https://www.imdb.com/title/tt23778968/,Thelma,Action,6/21/24,7,20K,0,$12.6M,98
https://www.imdb.com/title/tt10245072/,Salem's Lot,Horror,10/3/24,5.6,32K,0,$851.2K,114
https://www.imdb.com/title/tt1723808/,Reagan,Biography,8/30/24,6.2,10K,$25.0M,$30.1M,141
https://www.imdb.com/title/tt30319503/,Dìdi,Comedy,8/16/24,7.3,11K,0,$5.1M,93
https://www.imdb.com/title/tt26757462/,Hellboy: The Crooked Man,Action,10/8/24,4.5,11K,$20.0M,$2.0M,99
https://www.imdb.com/title/tt30024043/,The Prosecutor,Action,12/21/24,6.9,1.1K,$40.3M,$4.0M,117
https://www.imdb.com/title/tt8542964/,Sleeping Dogs,Crime,3/22/24,6.2,20K,0,$2.1M,110
https://www.imdb.com/title/tt5672290/,The First Omen,Horror,4/5/24,6.5,62K,$30.0M,$53.8M,119
https://www.imdb.com/title/tt12616480/,Slingshot,Sci-Fi,8/30/24,5.7,8.2K,0,$818.3K,108
https://www.imdb.com/title/tt28142896/,Weekend in Taipei,Action,11/8/24,5.7,3.8K,0,$2.9M,100
https://www.imdb.com/title/tt24169886/,The Instigators,Action,8/9/24,6.2,36K,0,$11.1K,101
https://www.imdb.com/title/tt27866861/,I Want to Talk,Drama,11/22/24,7.1,1.7K,0,$14.2K,122
https://www.imdb.com/title/tt19704542/,Sidelined: The QB and Me,Romance,11/29/24,5.9,3.1K,0,$2.2K,99
https://www.imdb.com/title/tt11762114/,Mean Girls,Comedy,1/12/24,5.6,36K,$36.0M,$105.0M,112
https://www.imdb.com/title/tt22050754/,The Strangers: Chapter 1,Horror,5/17/24,4.6,22K,$8.5M,$48.2M,91
https://www.imdb.com/title/tt32495687/,Sookshma Darshini,Comedy,11/22/24,7.8,8.5K,0,$1.7M,142
https://www.imdb.com/title/tt27858066/,Standing on the Shoulders of Kitties,Comedy,12/6/24,6.3,434,0,$218.8K,111
https://www.imdb.com/title/tt27802490/,Exhuma,Drama,2/22/24,6.9,22K,0,$93.9M,134
https://www.imdb.com/title/tt28618488/,Vermiglio,Drama,9/19/24,6.9,3K,0,$2.7M,119
https://www.imdb.com/title/tt26545708/,Aftermath,Action,11/1/24,5.1,2.1K,0,$44.0K,97
